wallet,tx_hash,block_signed_at,method,from_address,to_address,value_wei,value_usd,gas_price,gas_offered,successful
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,0xbce692aa769ace682d7f2e4f8e88a50bb8d18c58888c123a3aad1f1d0f9a45e8,2021-11-16T06:19:08Z,redeem,0xdde73df7bd4d704a89ad8421402701b3a460c6e9,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,0,0.0,141434172833,192020,True
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,0xee6d430c6ca8be1804f975db356b6e78128be6119f4003d3f20f36056698e841,2021-06-16T09:27:12Z,transfer,0xdde73df7bd4d704a89ad8421402701b3a460c6e9,0xa5644e29708357803b5a882d272c41cc0df92b34,0,0.0,10000000000,856467,True
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,0x884766ab0516ad4472a645d17f0c18e0c2c384d5d0ed630375e0ed90fb8e8148,2021-05-05T11:12:07Z,mint,0xdde73df7bd4d704a89ad8421402701b3a460c6e9,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,198025945097304237,700.0107413365639,27000000000,183959,True
0xdde73df7bd4d704a89ad8421402701b3a460c6e9,0x3a382a6005ac5320e7af0110f1104bdfe06c1a38f72c7692b26f5cc1cc6e7555,2021-05-05T10:55:34Z,transfer,0xdde73df7bd4d704a89ad8421402701b3a460c6e9,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,300000000000000000,1060.4833740234374,27000000000,202020,True
0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,0x5e35aadefedce8d3a23de62660e21cc6112906e76dc32335f58f7b561be7ef31,2020-11-15T00:57:18Z,transfer,0x8587d9f794f06d976c2ec1cfd523983b856f5ca9,0x39aa39c021dfbae8fac545936693ac917d5e7563,0,0.0,12100000000,247777,True
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,0x733522d61a8782ef6c3c6be3597f9ce13999c9b2ed5bb2becce5352dd6313724,2020-12-14T06:48:14Z,transfer,0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,0x39aa39c021dfbae8fac545936693ac917d5e7563,0,0.0,28000000000,247777,True
0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,0x1168593b828befaab22c58b01e013ff3e25d0cffad9e185699d2bd029dd145ca,2020-12-14T06:47:09Z,transfer,0xded1f838ae6aa5fcd0f13481b37ee88e5bdccb3d,0x39aa39c021dfbae8fac545936693ac917d5e7563,0,0.0,28000000000,247777,True
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,0x0db01d875b432243fdabaaf8c89f0d760c03fec2ba927e0cc15bb9c0fbed412d,2021-07-03T13:05:05Z,withdrawal,0x4d997c89bc659a3e8452038a8101161e7e7e53a7,0xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,0,0.0,10000000000,566083,True
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,0xc02f1efe42019986b952b88d0adc85a174db27a7a5c855e159702586943402d2,2021-05-05T21:58:31Z,withdrawal,0x4d997c89bc659a3e8452038a8101161e7e7e53a7,0xcc9a0b7c43dc2a5f023bb9b738e45b0ef6b06e04,0,0.0,63000000000,565739,True
0x4d997c89bc659a3e8452038a8101161e7e7e53a7,0x34725ff60b0259894d29dfdd9d9ebfd36eda1e2a57530e00ff7634a55f4a1ad7,2021-05-05T21:55:45Z,flashloan,0x4d997c89bc659a3e8452038a8101161e7e7e53a7,0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,0,0.0,65000000000,882602,True
